,Vibrations,Movement
0,51,No
1,53,No
2,54,No
3,54,No
4,55,No
5,55,No
6,56,No
7,57,No
8,57,No
9,57,No
10,57,No
11,57,No
12,58,No
13,58,No
14,58,No
15,58,No
16,58,No
17,58,No
18,58,No
19,58,No
20,57,No
21,56,No
22,54,No
23,53,No
24,51,No
25,49,No
26,48,No
27,46,No
28,45,No
29,43,No
30,43,No
31,42,No
32,41,No
33,41,No
34,41,No
35,41,No
36,42,No
37,42,No
38,43,No
39,44,No
40,45,No
41,47,No
42,48,No
43,50,No
44,51,No
45,52,No
46,53,No
47,55,No
48,56,No
49,57,No
50,57,No
51,58,No
52,59,No
53,59,No
54,59,No
55,59,No
56,59,No
57,59,No
58,59,No
59,58,No
60,57,No
61,57,No
62,56,No
63,56,No
64,55,No
65,54,No
66,53,No
67,52,No
68,52,No
69,51,No
70,50,No
71,49,No
72,49,No
73,49,No
74,49,No
75,49,No
76,49,No
77,49,No
78,50,No
79,50,No
80,50,No
81,51,No
82,51,No
83,52,No
84,52,No
85,53,No
86,53,No
87,54,No
88,55,No
89,55,No
90,55,No
91,56,No
92,56,No
93,56,No
94,56,No
95,56,No
96,56,No
97,56,No
98,55,No
99,55,No
100,55,No
101,54,No
102,54,No
103,54,No
104,53,No
105,53,No
106,53,No
107,53,No
108,53,No
109,53,No
110,52,No
111,52,No
112,52,No
113,52,No
114,52,No
115,52,No
116,52,No
117,52,No
118,52,No
119,52,No
120,52,No
121,52,No
122,53,No
123,52,No
124,52,No
125,52,No
126,52,No
127,52,No
128,52,No
129,52,No
130,52,No
131,52,No
132,51,No
133,51,No
134,51,No
135,51,No
136,51,No
137,51,No
138,51,No
139,51,No
140,51,No
141,51,No
142,51,No
143,51,No
144,51,No
145,52,No
146,52,No
147,52,No
148,53,No
149,53,No
150,53,No
151,53,No
152,54,No
153,54,No
154,54,No
155,55,No
156,55,No
157,55,No
158,55,No
159,55,No
160,55,No
161,55,No
162,55,No
163,55,No
164,54,No
165,54,No
166,54,No
167,54,No
168,54,No
169,54,No
170,53,No
171,53,No
172,53,No
173,53,No
174,53,No
175,53,No
176,53,No
177,53,No
178,53,No
179,53,No
180,53,No
181,53,No
182,53,No
183,52,No
184,52,No
185,52,No
186,52,No
