,Vibrations,Snoring
0,54,Yes
1,53,Yes
2,51,Yes
3,51,Yes
4,50,Yes
5,53,Yes
6,52,Yes
7,51,Yes
8,50,Yes
9,49,Yes
10,48,Yes
11,48,Yes
12,47,Yes
13,47,Yes
14,47,Yes
15,47,Yes
16,47,Yes
17,48,Yes
18,48,Yes
19,49,Yes
20,49,Yes
21,50,Yes
22,51,Yes
23,51,Yes
24,52,Yes
25,53,Yes
26,53,Yes
27,54,Yes
28,55,Yes
29,55,Yes
30,55,Yes
31,56,Yes
32,56,Yes
33,56,Yes
34,56,Yes
35,56,Yes
36,56,Yes
37,56,Yes
38,56,Yes
39,55,Yes
40,55,Yes
41,55,Yes
42,55,Yes
43,54,Yes
44,54,Yes
45,53,Yes
46,53,Yes
47,53,Yes
48,53,Yes
49,53,Yes
50,53,Yes
51,53,Yes
52,53,Yes
53,53,Yes
54,53,Yes
55,53,Yes
56,53,Yes
57,53,Yes
58,53,Yes
59,53,Yes
60,53,Yes
61,53,Yes
62,53,Yes
63,53,Yes
64,53,Yes
65,53,Yes
66,53,Yes
67,52,Yes
68,52,Yes
69,51,Yes
70,50,Yes
71,49,Yes
72,49,Yes
73,48,Yes
74,47,Yes
75,46,Yes
76,46,Yes
77,45,Yes
78,44,Yes
79,44,Yes
80,44,Yes
81,44,Yes
82,44,Yes
83,46,Yes
84,47,Yes
85,49,Yes
86,50,Yes
87,52,Yes
88,53,Yes
89,54,Yes
90,56,Yes
91,57,Yes
92,58,Yes
93,59,Yes
94,61,Yes
95,62,Yes
96,62,Yes
97,62,Yes
98,61,Yes
99,60,Yes
100,59,Yes
101,59,Yes
102,59,Yes
103,59,Yes
104,60,Yes
105,60,Yes
106,61,Yes
107,61,Yes
108,61,Yes
109,61,Yes
110,60,Yes
111,59,Yes
112,58,Yes
113,56,Yes
114,54,Yes
115,51,Yes
116,49,Yes
117,46,Yes
118,44,Yes
119,42,Yes
120,40,Yes
121,38,Yes
122,37,Yes
123,35,Yes
124,35,Yes
125,35,Yes
126,35,Yes
127,36,Yes
128,37,Yes
129,39,Yes
130,42,Yes
131,45,Yes
132,48,Yes
133,52,Yes
134,55,Yes
135,59,Yes
136,62,Yes
137,65,Yes
138,67,Yes
139,68,Yes
140,69,Yes
141,69,Yes
142,68,Yes
143,66,Yes
144,63,Yes
145,60,Yes
146,57,Yes
147,53,Yes
148,50,Yes
149,46,Yes
150,43,Yes
151,40,Yes
152,38,Yes
153,36,Yes
154,34,Yes
155,34,Yes
156,34,Yes
157,34,Yes
158,35,Yes
159,37,Yes
160,39,Yes
161,41,Yes
162,44,Yes
163,46,Yes
164,49,Yes
165,51,Yes
166,53,Yes
167,54,Yes
168,56,Yes
169,57,Yes
170,58,Yes
171,59,Yes
172,60,Yes
173,61,Yes
174,62,Yes
175,63,Yes
176,64,Yes
177,64,Yes
178,65,Yes
179,65,Yes
180,66,Yes
181,66,Yes
182,66,Yes
183,66,Yes
184,66,Yes
185,65,Yes
186,65,Yes
187,64,Yes
188,63,Yes
189,62,Yes
190,61,Yes
191,59,Yes
192,58,Yes
193,56,Yes
194,55,Yes
195,53,Yes
196,51,Yes
197,50,Yes
198,49,Yes
199,48,Yes
200,47,Yes
201,47,Yes
202,46,Yes
203,46,Yes
204,47,Yes
205,47,Yes
206,48,Yes
207,48,Yes
208,49,Yes
209,50,Yes
210,51,Yes
211,51,Yes
212,52,Yes
213,52,Yes
214,52,Yes
215,52,Yes
216,52,Yes
217,52,Yes
218,52,Yes
219,51,Yes
220,50,Yes
221,50,Yes
222,49,Yes
223,48,Yes
224,48,Yes
225,47,Yes
226,47,Yes
227,47,Yes
228,46,Yes
229,46,Yes
230,47,Yes
231,47,Yes
232,47,Yes
233,48,Yes
234,49,Yes
235,50,Yes
236,50,Yes
237,51,Yes
238,52,Yes
239,53,Yes
240,54,Yes
241,55,Yes
242,56,Yes
243,56,Yes
244,56,Yes
245,57,Yes
246,58,Yes
247,58,Yes
248,59,Yes
249,59,Yes
250,59,Yes
251,59,Yes
252,59,Yes
253,59,Yes
