createdAt,m,pVal.createdAt,pVal.updatedAt,pl.Algo_flag,pl.Humidity,pl.NS,pl.Tempc,pl.Time,pl.m,pl.online,pl.proto,t,updatedAt
2023-06-04T18:30:31.662Z,C8:F0:9E:28:00:CD,,,0,54.80,-49,31.10,0:0:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T18:30:31.662Z
2023-06-04T18:35:31.687Z,C8:F0:9E:28:00:CD,,,0,54.90,-50,31.10,0:5:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T18:35:31.687Z
2023-06-04T18:40:31.666Z,C8:F0:9E:28:00:CD,,,0,54.70,-50,31.20,0:10:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T18:40:31.666Z
2023-06-04T18:45:31.692Z,C8:F0:9E:28:00:CD,,,0,54.60,-50,31.20,0:15:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T18:45:31.692Z
2023-06-04T18:50:31.673Z,C8:F0:9E:28:00:CD,,,0,54.70,-50,31.20,0:20:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T18:50:31.673Z
2023-06-04T18:52:20.478Z,C8:F0:9E:28:00:CD,,,0,54.90,-49,31.20,0:22:19 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,,COOLIX+NONE,do,2023-06-04T18:52:20.478Z
2023-06-04T18:55:31.664Z,C8:F0:9E:28:00:CD,,,0,54.90,-50,31.20,0:25:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T18:55:31.664Z
2023-06-04T19:00:31.680Z,C8:F0:9E:28:00:CD,,,0,55.00,-49,31.10,0:30:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T19:00:31.680Z
2023-06-04T19:05:31.708Z,C8:F0:9E:28:00:CD,,,0,55.20,-50,31.10,0:35:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T19:05:31.708Z
2023-06-04T19:10:31.684Z,C8:F0:9E:28:00:CD,,,0,55.10,-49,31.00,0:40:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T19:10:31.684Z
2023-06-04T19:15:31.704Z,C8:F0:9E:28:00:CD,,,0,55.20,-49,31.00,0:45:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T19:15:31.704Z
2023-06-04T19:20:20.377Z,C8:F0:9E:28:00:CD,,,0,55.20,-49,31.00,0:50:19 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,,COOLIX+NONE,do,2023-06-04T19:20:20.377Z
2023-06-04T19:20:31.683Z,C8:F0:9E:28:00:CD,,,0,55.10,-49,31.00,0:50:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T19:20:31.683Z
2023-06-04T19:25:31.705Z,C8:F0:9E:28:00:CD,,,0,55.40,-49,31.00,0:55:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T19:25:31.705Z
2023-06-04T19:30:31.684Z,C8:F0:9E:28:00:CD,,,0,55.30,-49,30.90,1:0:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T19:30:31.684Z
2023-06-04T19:35:31.724Z,C8:F0:9E:28:00:CD,,,0,55.40,-49,30.90,1:5:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T19:35:31.724Z
2023-06-04T19:40:31.731Z,C8:F0:9E:28:00:CD,,,0,55.30,-49,30.90,1:10:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T19:40:31.731Z
2023-06-04T19:45:31.734Z,C8:F0:9E:28:00:CD,,,0,55.40,-48,30.90,1:15:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T19:45:31.734Z
2023-06-04T19:50:31.722Z,C8:F0:9E:28:00:CD,,,0,55.40,-48,30.90,1:20:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T19:50:31.722Z
2023-06-04T19:55:31.722Z,C8:F0:9E:28:00:CD,,,0,55.30,-49,30.90,1:25:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T19:55:31.722Z
2023-06-04T20:00:31.724Z,C8:F0:9E:28:00:CD,,,0,55.30,-49,30.90,1:30:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T20:00:31.724Z
2023-06-04T20:05:31.752Z,C8:F0:9E:28:00:CD,,,0,55.40,-49,30.90,1:35:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T20:05:31.752Z
2023-06-04T20:10:31.726Z,C8:F0:9E:28:00:CD,,,0,55.30,-50,30.90,1:40:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T20:10:31.726Z
2023-06-04T20:15:31.710Z,C8:F0:9E:28:00:CD,,,0,55.40,-49,30.90,1:45:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T20:15:31.710Z
2023-06-04T20:20:31.727Z,C8:F0:9E:28:00:CD,,,0,55.40,-49,30.90,1:50:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T20:20:31.727Z
2023-06-04T20:25:31.723Z,C8:F0:9E:28:00:CD,,,0,55.30,-49,30.90,1:55:30 Mon 5 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-04T20:25:31.723Z
