createdAt,m,pl.Algo_flag,pl.Humidity,pl.NS,pl.Tempc,pl.Time,pl.m,pl.online,t,updatedAt
2023-06-01T18:31:39.064Z,C8:F0:9E:29:41:11,0,64.00,-58,28.70,0:1:37 Fri 2 Jun 2023,C8:F0:9E:29:41:11,online,p,2023-06-01T18:31:39.064Z
2023-06-01T18:34:08.971Z,C8:F0:9E:29:41:11,0,63.90,-58,28.70,0:4:7 Fri 2 Jun 2023,C8:F0:9E:29:41:11,online,p,2023-06-01T18:34:08.971Z
2023-06-01T18:36:38.971Z,C8:F0:9E:29:41:11,0,63.70,-58,28.70,0:6:37 Fri 2 Jun 2023,C8:F0:9E:29:41:11,online,p,2023-06-01T18:36:38.971Z
2023-06-01T18:39:08.971Z,C8:F0:9E:29:41:11,0,63.80,-58,28.70,0:9:7 Fri 2 Jun 2023,C8:F0:9E:29:41:11,online,p,2023-06-01T18:39:08.971Z
2023-06-01T18:41:38.972Z,C8:F0:9E:29:41:11,0,63.90,-58,28.70,0:11:37 Fri 2 Jun 2023,C8:F0:9E:29:41:11,online,p,2023-06-01T18:41:38.972Z
2023-06-01T18:44:08.970Z,C8:F0:9E:29:41:11,0,63.90,-58,28.70,0:14:7 Fri 2 Jun 2023,C8:F0:9E:29:41:11,online,p,2023-06-01T18:44:08.970Z
2023-06-01T18:46:38.962Z,C8:F0:9E:29:41:11,0,63.90,-58,28.70,0:16:37 Fri 2 Jun 2023,C8:F0:9E:29:41:11,online,p,2023-06-01T18:46:38.962Z
2023-06-01T18:49:08.971Z,C8:F0:9E:29:41:11,0,63.70,-58,28.70,0:19:7 Fri 2 Jun 2023,C8:F0:9E:29:41:11,online,p,2023-06-01T18:49:08.971Z
2023-06-01T18:51:38.970Z,C8:F0:9E:29:41:11,0,63.60,-58,28.70,0:21:37 Fri 2 Jun 2023,C8:F0:9E:29:41:11,online,p,2023-06-01T18:51:38.970Z
2023-06-01T18:54:08.970Z,C8:F0:9E:29:41:11,0,63.70,-59,28.70,0:24:7 Fri 2 Jun 2023,C8:F0:9E:29:41:11,online,p,2023-06-01T18:54:08.970Z
2023-06-01T18:56:38.970Z,C8:F0:9E:29:41:11,0,63.70,-59,28.80,0:26:37 Fri 2 Jun 2023,C8:F0:9E:29:41:11,online,p,2023-06-01T18:56:38.970Z
2023-06-01T18:59:08.971Z,C8:F0:9E:29:41:11,0,63.80,-59,28.80,0:29:7 Fri 2 Jun 2023,C8:F0:9E:29:41:11,online,p,2023-06-01T18:59:08.971Z
2023-06-01T19:01:38.997Z,C8:F0:9E:29:41:11,0,63.80,-58,28.80,0:31:37 Fri 2 Jun 2023,C8:F0:9E:29:41:11,online,p,2023-06-01T19:01:38.997Z
2023-06-01T19:04:08.997Z,C8:F0:9E:29:41:11,0,63.90,-58,28.80,0:34:7 Fri 2 Jun 2023,C8:F0:9E:29:41:11,online,p,2023-06-01T19:04:08.997Z
2023-06-01T19:06:38.973Z,C8:F0:9E:29:41:11,0,63.80,-58,28.80,0:36:37 Fri 2 Jun 2023,C8:F0:9E:29:41:11,online,p,2023-06-01T19:06:38.973Z
